CHO,PO2,D3M,COH,MTF,COH-W,MTF-W,CHO-W,PO2-W,CHO,PO2,D3M,COH,MTF,COH-W,MTF-W,CHO-W,PO2-W,AL1,Dpp1,Kc1,AL2,Dpp2,Kc2,AL3,Dpp3,Kc3
-0.736692499,-0.7250199847,-0.5718306384,-0.9875849615,-0.7377610014,-0.9894681432,-0.9733164868,-0.7430487746,-0.8651359863,3.311168028,3.420166313,2.547784147,3.176503888,2.335604541,4.63440682,4.887880127,4.963524002,4.316530891,68.44873389,38.56771348,15.24651259,69.86141201,32.82152769,16.59319366,69.80443214,36.9826336,17.5802671
-0.6982487463,-0.6928278076,-0.5660667289,-0.9792149912,-0.7915783588,-0.9147716609,-1.003514386,-0.7884736418,-0.8490996094,3.466486624,3.127428879,2.674818491,3.123919028,2.462127192,4.637131211,4.824146484,4.819441703,4.391070671,68.04187656,38.65345713,20.97114311,65.60846919,32.94153633,20.14172721,66.62588421,37.4185063,17.58540557
-0.7205207203,-0.700069726,-0.5205840001,-0.9706065602,-0.7995216742,-0.9274716822,-0.9785725272,-0.7689318898,-0.8741418457,3.517239334,3.127029728,2.634774349,3.014890561,2.419513453,4.598662811,4.598741455,4.919515111,4.223955612,65.46225827,39.28294925,21.74031239,65.25622224,33.81364921,20.51897211,66.06032006,37.9987143,17.61333608
-0.7590360295,-0.7256366931,-0.5706939045,-0.9908995652,-0.7414629212,-0.9398941074,-1.016216483,-0.7388889882,-0.8296860352,3.617299535,3.275434116,2.707504929,3.148584732,2.576842661,4.445987947,4.850825684,4.950766105,4.467591228,68.67851256,38.43335293,18.24486509,67.60554434,32.95208822,22.19062884,68.807025,37.53998708,17.63064132
-0.7663705752,-0.7317332959,-0.562215207,-0.9357197607,-0.7457415221,-0.9377196047,-1.007407749,-0.723987709,-0.8701699219,3.371272159,3.109546909,2.743577214,2.995596836,2.383492556,4.501129618,4.871576172,4.965513766,4.200916044,70.55162436,38.43298975,19.85273545,64.01932975,33.14829348,21.68929614,69.07064327,37.94641054,17.68062047
-0.7097156823,-0.7401733905,-0.5550872169,-0.965741962,-0.7457229195,-0.9666127314,-1.004755395,-0.7873458775,-0.8523068848,3.375437792,3.127987691,2.594404644,2.963137979,2.404889328,4.662740485,4.89107251,4.909683338,4.437879568,68.04187656,37.63529855,16.84129115,67.71193874,32.31081113,15.40648849,67.08633789,37.09767927,17.72770825
-0.7129446713,-0.7065627841,-0.5541042764,-0.9559293045,-0.7516106463,-0.969770387,-1.032094106,-0.7622669876,-0.9014886475,3.336544383,3.189017898,2.537854502,3.209605869,2.490026905,4.675218195,4.775747681,5.023743614,4.335973785,71.48517367,37.17460142,15.71888019,68.91576664,32.13119536,19.36018781,68.90485402,36.90251604,17.75894794
-0.7199572125,-0.7481465488,-0.5721850319,-0.9378062918,-0.7288410488,-0.9880917292,-1.042411518,-0.7298761177,-0.8782093506,3.316821387,3.400408332,2.626928301,3.057677236,2.498178057,4.520908696,4.559577759,4.878607911,4.413536856,67.94086689,39.15144472,27.09104065,65.80581676,33.95054343,22.16031259,65.7721,38.07636757,17.7869402
-0.7515047034,-0.7441203241,-0.5529474825,-0.948191255,-0.7546521734,-0.9258986377,-1.013320795,-0.7382419103,-0.8964865723,3.601232094,3.15608793,2.633993,3.135041293,2.399135574,4.589508858,4.595549072,4.988337525,4.427871429,69.2700656,38.41714951,17.12935074,68.90999366,32.57929422,18.27459544,69.06648789,37.14556555,17.79465988
-0.7110126446,-0.7500495346,-0.5673171362,-0.9865476575,-0.7972242516,-0.9335903628,-1.041535512,-0.721223762,-0.8616419678,3.38517177,3.265335592,2.537073152,3.034373441,2.531981361,4.550985971,4.882008423,4.977393825,4.423127989,68.0563128,37.83175019,16.53468862,69.14336154,32.58784355,17.15933899,69.52024141,37.30825174,17.83817842
